시도,시군구,읍면동,하위,위도,경도
서울특별시,종로구,청운효자동,,37.584009,126.970626
서울특별시,종로구,사직동,,37.575408,126.965944
서울특별시,종로구,삼청동,,37.590758,126.980996
서울특별시,종로구,부암동,,37.594768,126.965574
서울특별시,종로구,평창동,,37.613029,126.974485
서울특별시,종로구,무악동,,37.57711,126.958562
서울특별시,종로구,교남동,,37.568547,126.964454
서울특별시,종로구,가회동,,37.582682,126.984831
서울특별시,종로구,종로1.2.3.4가동,,37.570962,126.977881
서울특별시,종로구,종로5.6가동,,37.573681,127.009292
서울특별시,종로구,이화동,,37.577245,127.005622
서울특별시,종로구,혜화동,,37.587817,127.001745
서울특별시,종로구,창신제1동,,37.573172,126.97922
서울특별시,종로구,창신제2동,,37.573172,126.97922
서울특별시,종로구,창신제3동,,37.573172,126.97922
서울특별시,종로구,숭인제1동,,37.573172,126.97922
서울특별시,종로구,숭인제2동,,37.573172,126.97922
서울특별시,종로구,청운동,,37.587111,126.969069
서울특별시,종로구,신교동,,37.583911,126.968354
서울특별시,종로구,궁정동,,37.584381,126.971489
서울특별시,종로구,효자동,,37.582416,126.97167
서울특별시,종로구,창성동,,37.580363,126.972065
서울특별시,종로구,통의동,,37.578307,126.972872
서울특별시,종로구,적선동,,37.576122,126.973453
서울특별시,종로구,통인동,,37.580141,126.970127
서울특별시,종로구,누상동,,37.580478,126.965838
서울특별시,종로구,누하동,,37.579423,126.968521
서울특별시,종로구,옥인동,,37.582175,126.967275
서울특별시,종로구,체부동,,37.577645,126.970877
서울특별시,종로구,필운동,,37.577076,126.968848
서울특별시,종로구,내자동,,37.575641,126.971177
서울특별시,종로구,사직동,,37.573711,126.966295
서울특별시,종로구,도렴동,,37.572445,126.975158
서울특별시,종로구,당주동,,37.571429,126.97457
서울특별시,종로구,내수동,,37.573113,126.971819
서울특별시,종로구,세종로,,37.572655,126.976742
서울특별시,종로구,신문로1가,,37.570366,126.973968
서울특별시,종로구,신문로2가,,37.571299,126.968815
서울특별시,종로구,청진동,,37.571886,126.980676
서울특별시,종로구,서린동,,37.569668,126.979809
서울특별시,종로구,수송동,,37.573994,126.981139
서울특별시,종로구,중학동,,37.575301,126.979265
서울특별시,종로구,종로1가,,37.570479,126.980434
서울특별시,종로구,공평동,,37.571692,126.982996
서울특별시,종로구,관훈동,,37.574336,126.984857
서울특별시,종로구,견지동,,37.573529,126.983065
서울특별시,종로구,와룡동,,37.57695,126.991141
서울특별시,종로구,권농동,,37.575619,126.991498
서울특별시,종로구,운니동,,37.576159,126.989206
서울특별시,종로구,익선동,,37.574082,126.989819
서울특별시,종로구,경운동,,37.574538,126.986664
서울특별시,종로구,관철동,,37.569182,126.986053
서울특별시,종로구,인사동,,37.571837,126.986206
서울특별시,종로구,낙원동,,37.572558,126.988732
서울특별시,종로구,종로2가,,37.570195,126.986454
서울특별시,종로구,팔판동,,37.582882,126.980836
서울특별시,종로구,삼청동,,37.585404,126.982123
서울특별시,종로구,안국동,,37.577515,126.983939
서울특별시,종로구,소격동,,37.580122,126.981424
서울특별시,종로구,화동,,37.580693,126.982268
서울특별시,종로구,사간동,,37.577668,126.980593
서울특별시,종로구,송현동,,37.577322,126.982187
서울특별시,종로구,가회동,,37.582235,126.984666
서울특별시,종로구,재동,,37.578363,126.985575
서울특별시,종로구,계동,,37.581321,126.987016
서울특별시,종로구,원서동,,37.581687,126.988696
서울특별시,종로구,훈정동,,37.57098,126.995131
서울특별시,종로구,묘동,,37.572598,126.991715
서울특별시,종로구,봉익동,,37.572398,126.992873
서울특별시,종로구,돈의동,,37.572085,126.990736
서울특별시,종로구,장사동,,37.569411,126.99383
서울특별시,종로구,관수동,,37.5692,126.990527
서울특별시,종로구,종로3가,,37.570337,126.992072
서울특별시,종로구,인의동,,37.573102,126.997921
서울특별시,종로구,예지동,,37.569643,126.997971
서울특별시,종로구,원남동,,37.575326,126.997429
서울특별시,종로구,연지동,,37.57359,126.999447
서울특별시,종로구,종로4가,,37.570618,126.998135
서울특별시,종로구,효제동,,37.572859,127.003417
서울특별시,종로구,종로5가,,37.57054,127.003794
서울특별시,종로구,종로6가,,37.572572,127.006996
서울특별시,종로구,이화동,,37.577066,127.006358
서울특별시,종로구,연건동,,37.5775,127.000903
서울특별시,종로구,충신동,,37.575189,127.006471
서울특별시,종로구,동숭동,,37.581654,127.005083
서울특별시,종로구,혜화동,,37.587955,127.001157
서울특별시,종로구,명륜1가,,37.588347,126.997733
서울특별시,종로구,명륜2가,,37.584521,126.998638
서울특별시,종로구,명륜4가,,37.582225,127.000008
서울특별시,종로구,명륜3가,,37.588359,126.994739
서울특별시,종로구,창신동,,37.574729,127.012062
서울특별시,종로구,숭인동,,37.575979,127.018802
서울특별시,종로구,교남동,,37.567917,126.965108
서울특별시,종로구,평동,,37.567121,126.967018
서울특별시,종로구,송월동,,37.569779,126.96576
서울특별시,종로구,홍파동,,37.571862,126.965154
서울특별시,종로구,교북동,,37.572612,126.960436
서울특별시,종로구,행촌동,,37.574294,126.962469
서울특별시,종로구,구기동,,37.609211,126.957246
서울특별시,종로구,평창동,,37.61042,126.969837
서울특별시,종로구,부암동,,37.594148,126.964248
서울특별시,종로구,홍지동,,37.60031,126.957773
서울특별시,종로구,신영동,,37.602696,126.961378
서울특별시,종로구,무악동,,37.575906,126.959334
