자치구,위도,경도,CCTV 수량
강남구,37.4907,127.1039,7009
강동구,37.5477,127.1624,3191
강북구,37.6573,127.0116,2858
강서구,37.5733,126.8381,3481
관악구,37.4916,126.9412,5366
광진구,37.546,127.1039,4091
구로구,37.4848,126.887,4050
금천구,37.4677,126.9094,2725
노원구,37.6206,127.0861,2655
도봉구,37.6696,127.0443,1598
동대문구,37.5817,127.0387,2857
동작구,37.5097,126.9282,2650
마포구,37.5542,126.9236,2450
서대문구,37.577,126.9457,3224
서초구,37.4822,127.0057,5060
성동구,37.5647,127.0388,4036
성북구,37.6091,127.0648,3943
송파구,37.4921,127.1484,3094
양천구,37.5181,126.8724,3845
영등포구,37.5168,126.9373,2899
용산구,37.5423,126.9867,1078
은평구,37.6121,126.9176,4116
종로구,37.5866,126.9685,1930
중구,37.5591,126.9787,2336
중랑구,37.612,127.0931,3471
