행정구역,총인구,10살미만,10대,20대,30대,40대,50대,60대,70대,80대,90대
 종로구 ,564472,57896,75891,23901,85588,39313,57755,75768,23762,85060,39538
 중구 ,482977,49634,64416,18449,73698,34621,49978,64656,18516,74130,34879
 용산구 ,871762,95777,112386,36221,137022,55088,95123,112291,36060,136428,55366
 성동구 ,1121225,124054,145593,47488,174386,69573,123658,145356,47462,173794,69861
 광진구 ,1347522,155478,169996,52399,216766,79607,154999,169829,52215,216016,80217
 동대문구 ,1348752,145654,175715,56459,204928,90844,146504,175787,56551,205001,91309
 중랑구 ,1539895,154725,214549,60684,229695,110474,154129,214771,60692,228787,111389
 성북구 ,1719778,184428,226648,80720,258620,109619,184328,226658,80531,258040,110186
 강북구 ,1171400,108114,169622,48135,167905,92570,107607,169278,48133,166867,93169
 도봉구 ,1242443,116188,179379,54221,175778,96456,115278,179251,54126,174778,96988
 노원구 ,2009681,206058,275094,98548,293284,132512,205755,274801,98230,292017,133382
 은평구 ,1860750,190645,254609,82426,276644,127440,189353,254236,82080,275166,128151
 서대문구 ,1232025,134504,158258,55829,188019,78754,135081,158614,55735,187910,79321
 마포구 ,1461004,172167,178542,63126,236855,79579,172211,178915,63022,236538,80049
 양천구 ,1758520,184182,242231,89437,257274,107444,182603,242173,88893,256079,108204
 강서구 ,2273335,256186,292876,95777,350700,141779,254879,293342,95399,349668,142729
 구로구 ,1580986,167138,213033,67891,235756,106984,166263,213304,67779,235046,107792
 금천구 ,917405,97822,122880,32749,142234,63146,97443,122893,32612,141932,63694
 영등포구 ,1505407,174619,186794,61476,238437,91139,174738,186885,61469,238174,91676
 동작구 ,1519947,171398,193110,63032,236191,95750,171542,192960,63223,236539,96202
 관악구 ,1949523,241921,227056,62082,327628,115497,242676,226930,62058,327584,116091
 서초구 ,1618858,180116,211643,86306,243179,88361,179745,212026,85955,242645,88882
 강남구 ,2125974,235529,277155,108807,323097,114113,236976,279385,109381,325786,115745
 송파구 ,2632777,296548,342934,123041,401506,153263,295352,343224,122559,400090,154260
 강동구 ,1839675,198431,247332,85827,272281,116406,197573,247827,85455,271329,117214
